,accuracy,ce_loss,n_train,n_val
attractive,0.7582282374653952,0.7259278026751401,26002.0,3251.0
smart,0.7188557366964011,0.7968605122370268,26002.0,3251.0
trustworthy,0.6887111657951399,0.9025759209304705,26002.0,3251.0
