,accuracy,ce_loss,n_train,n_val
attractive,0.6597969855429099,0.6228117679248887,26002.0,3251.0
smart,0.6013534297139341,0.687214154645217,26002.0,3251.0
trustworthy,0.6115041525684405,0.7295515466898619,26002.0,3251.0
