,mae,rmse,n_train,n_val
attractive,0.5392627281053437,0.6740419062414157,9962.0,2491.0
smart,0.5391577358276477,0.6371888236522568,9962.0,2491.0
trustworthy,0.5937374945578926,0.7368684962994281,9962.0,2491.0
