,User1,User2,User3,User4,User5,User6
User1,100.0,70.22,51.69,60.65,58.27,62.16
User2,70.22,100.0,52.89,65.08,59.05,63.96
User3,51.69,52.89,100.0,57.27,51.27,52.83
User4,60.65,65.08,57.27,100.0,57.41,0.0
User5,58.27,59.05,51.27,57.41,100.0,58.33
User6,62.16,63.96,52.83,0.0,58.33,100.0
