target,val_accuracy,val_ce_loss,n_train,n_val
attractive,0.7453091356505691,0.5513027801109917,26002,3251
smart,0.7191633343586589,0.5747174976685753,26002,3251
trustworthy,0.6887111657951399,0.6549205037381204,26002,3251
