user_id,target,val_mae,val_rmse
603951f6152e6be8454a7d54,attractive,0.5334168,0.6756909
5fc68c7d781dffc92b8a11e5,attractive,0.4347764,0.5440408
601577ed152e6be8454a39cb,attractive,0.5017919,0.6270411
6036847a152e6be8454a5cde,attractive,0.4723841,0.5209578
60378cd4152e6be8454a6535,attractive,0.90676147,1.0826758
603951f6152e6be8454a7d54,smart,0.61210704,0.7276547
5fc68c7d781dffc92b8a11e5,smart,0.4068613,0.4937047
601577ed152e6be8454a39cb,smart,0.4408463,0.5518477
6036847a152e6be8454a5cde,smart,0.2723953,0.43619245
60378cd4152e6be8454a6535,smart,0.79251,0.9419294
603951f6152e6be8454a7d54,trustworthy,0.72912294,0.87083316
5fc68c7d781dffc92b8a11e5,trustworthy,0.43598256,0.54517275
601577ed152e6be8454a39cb,trustworthy,0.47918415,0.5841236
6036847a152e6be8454a5cde,trustworthy,0.21393998,0.36325535
60378cd4152e6be8454a6535,trustworthy,0.62139964,0.76323736
