user_id,target,n_train,n_train_augmented,n_val,val_accuracy,val_auc,antisym_error,class_balance
5fc68c7d781dffc92b8a11e5,attractive,3681,7362,921,0.743756786102063,0.8277419902477672,0.01946414,0.49695784441547153
603951f6152e6be8454a7d54,attractive,3670,7340,918,0.6633986928104575,0.7366137340074533,0.035610236,0.5065387968613775
6036847a152e6be8454a5cde,attractive,2960,5920,741,0.5263157894736842,0.5327422158069932,0.05753789,0.5514725749797352
601577ed152e6be8454a39cb,attractive,2249,4498,563,0.7477797513321492,0.8230786738487217,0.016835015,0.5227596017069701
60378cd4152e6be8454a6535,attractive,239,478,60,0.65,0.7243303571428572,0.03098626,0.4682274247491639
5fc68c7d781dffc92b8a11e5,smart,3681,7362,921,0.7187839305103149,0.8023230589300536,0.01612671,0.4963059539330726
603951f6152e6be8454a7d54,smart,3670,7340,918,0.545751633986928,0.5666925529503128,0.09496335,0.5636442894507411
6036847a152e6be8454a5cde,smart,2960,5920,741,0.4939271255060729,0.48884815377424634,0.10106007,0.47446636044312346
601577ed152e6be8454a39cb,smart,2249,4498,563,0.7566607460035524,0.8501897293195042,0.02087127,0.5238264580369844
60378cd4152e6be8454a6535,smart,239,478,60,0.6,0.628476084538376,0.07459292,0.4916387959866221
5fc68c7d781dffc92b8a11e5,trustworthy,3681,7362,921,0.7242128121606949,0.8061957003650633,0.018027216,0.4930465015210778
603951f6152e6be8454a7d54,trustworthy,3670,7340,918,0.5980392156862745,0.6498532576795149,0.07040811,0.5860941586748039
6036847a152e6be8454a5cde,trustworthy,2960,5920,741,0.5087719298245614,0.5101521361786543,0.07133323,0.5163469332612808
601577ed152e6be8454a39cb,trustworthy,2249,4498,563,0.7460035523978685,0.833700412647781,0.014726793,0.527027027027027
60378cd4152e6be8454a6535,trustworthy,239,478,60,0.6333333333333333,0.7074527252502781,0.04809942,0.48494983277591974
